Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,1.351166059,1.410645793,1.694729788,1.748593374,1.982569886,0.9038063093,0.9167393091,1.028037849,1.065821929,1.121397344,1.114046147,1.197733519,1.067446156,1.098589514,1.208084947,1.194329205,1.166167561,1.120664063,1.110308595,1.059805315,1.102117333,1.192545009,1.220019931,1.210327457,1.218061875,1.216598781,1.126308332,1.367893399,1.098361843,1.090812748,1.165133129,1.251680189,1.259392698,1.726128644,2.264856497,2.479161747,2.177703582,2.525101679,2.293878407,2.61723535,2.726740489,2.339021054,2.952296051,2.954634798,,,
Albania,ALB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,3.504445756,3.986335214,5.532737638,6.123031306,6.91916246,7.459715709,8.148727192,7.956728351,10.26375916,8.259654631,9.727009603,9.985082751,9.675467522,7.964705003,6.741081812,11.98675178,10.13453855,8.669958512,9.1478928,9.163726865,16.16902474,20.42684655,21.41494442,22.91392142,27.19568051,34.70792219,35.71220329,31.70343624,25.41877718,22.09401929,16.80172454,15.06798298,21.42521786,21.77019242,21.42897686,22.18861538,12.18660252,15.8982795,21.17314894,30.95381353,16.51619005,20.95791096,26.30974118,17.92420559,,,
Andorra,AND,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,1.399919376,1.423457372,1.240940665,1.38793939,1.372053277,1.442331333,1.507832515,1.386619713,1.244475848,1.111381266,0.9706100287,0.8744386816,0.7503009661,0.7596569254,0.6936714409,0.6603585668,0.6894135172,0.6353683711,0.6421407515,0.7014232671,0.6266155884,0.5464488845,0.5196747037,0.5116419605,0.4984670259,0.5247853733,0.5225686679,0.5185872562,0.5461762579,0.5245114785,0.5344123174,0.443465856,0.4810765985,0.4761075816,0.5535228101,0.5130331528,0.5259363198,0.4317151544,0.4277740644,0.5140108674,0.4905121339,0.4849412142,0.5235477963,0.4963160004,,,
United Arab Emirates,ARE,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02576319185,0.09690708001,,,
Argentina,ARG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.394625117,0.3782432685,0.7235010207,1.934735896,3.07011219,2.961250822,2.41597642,3.651779428,3.93754544,4.573464382,4.890516609,4.870404995,5.909089138,6.738568199,7.928157139,7.511896381,7.700671708,5.860056517,5.221075696,7.456698649,7.194504334,7.033639566,8.131124899,8.444836886,7.677003906,6.986500004,7.755529647,7.053116127,6.07307769,6.639949322,8.586295945,8.093947272,8.02432437,7.027322315,7.055879823,7.243986573,6.098527322,5.832679423,6.677403476,6.050126949,6.303150176,6.031638562,6.240374525,5.878946417,,,
Armenia,ARM,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.734937196,1.636404297,6.337679517,16.83887228,21.92181082,14.85195051,41.59568794,28.91413158,28.80813927,35.16511387,31.31941825,29.9675183,39.2933087,34.88477032,35.5851639,34.24277597,33.0240484,28.91649251,26.49959105,31.56856209,35.00832192,32.34446716,27.0079745,27.66041882,27.51341027,,,
American Samoa,ASM,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
